id,pregunta,course_id
F01,¿Cuál es la dosis de adrenalina en una anafilaxia?,4451
F02,¿Cómo se interpreta una gasometría arterial?,4451
F03,¿Cuáles son los criterios de Ottawa para la radiografía de tobillo?,2966
F04,¿Qué antibiótico de elección se usa en la neumonía adquirida en la comunidad?,124054
F05,¿Cómo se maneja un ictus isquémico en fase aguda?,131181
F06,¿Qué es la escala de coma de Glasgow y cómo se puntúa?,101442
F07,¿Cómo se trata la cetoacidosis diabética con insulina intravenosa?,3518
F08,¿Qué vacunas incluye el calendario vacunal infantil?,118788
F09,¿Cómo se diagnostica una apendicitis aguda?,4451
F10,¿Cómo se anticoagula una fibrilación auricular?,131181
F11,¿Cómo se sutura una herida cutánea?,4451
F12,¿Cómo se maneja el síndrome de abstinencia alcohólica?,124054
F13,¿Cómo se trata una intoxicación por paracetamol?,101442
F14,¿Qué es la EPOC y cuál es su tratamiento?,2966
F15,¿Cómo se realiza un lavado gástrico?,4451
F16,¿Cuáles son los criterios diagnósticos de sepsis en el adulto?,131181
F17,¿Cómo se interpreta un hemograma completo?,124054
F18,¿Qué es la hemodiálisis y cuándo se indica?,3518
F19,¿Cómo se diagnostica la tuberculosis pulmonar?,101439
F20,¿Qué es la enfermedad de Parkinson y cómo se trata?,2966
