id,pregunta,course_id,doc_esperado
P001,¿Qué es el climaterio y en qué se diferencia de la menopausia?,4451,Bloque I_Introducción
P002,¿Qué cambios hormonales caracterizan la transición a la menopausia?,4451,Bloque II_Aspectos fisiológicos
P003,¿Qué le ocurre a la producción de estrógenos durante la menopausia?,4451,Bloque II_Aspectos fisiológicos
P004,¿A qué edad media aparece la menopausia en la población?,4451,Bloque III_Epidemiología
P005,¿Cuáles son los síntomas más frecuentes de la menopausia?,4451,Bloque IV_Síntomas
P006,¿Por qué se producen los sofocos durante la menopausia?,4451,Bloque IV_Síntomas
P007,¿Qué cambios en el estilo de vida reducen el riesgo cardiovascular tras la menopausia?,4451,Bloque V_Menopausia y estilo de vida
P008,¿Qué papel tienen la dieta y el ejercicio en la menopausia?,4451,Bloque V_Menopausia y estilo de vida
P009,¿Qué alteraciones psicológicas pueden aparecer durante la menopausia?,4451,Bloque VI_Aspectos psicológicos
P010,¿Qué es el Índice de Función Sexual Femenina (FSFI) y para qué sirve?,4451,Bloque VII_Menopausia y sexualidad
P011,¿Cómo afecta la menopausia a la sexualidad y la lubricación vaginal?,4451,Bloque VII_Menopausia y sexualidad
P012,"Una mujer de 52 años consulta por sofocos, insomnio y sequedad vaginal, ¿cómo orientarías su manejo según el material?",4451,Bloque IV_Síntomas
P013,Hazme un test sobre los aspectos fisiológicos de la menopausia,4451,Bloque II_Aspectos fisiológicos
P014,¿En qué se diferencia un SCACEST de un SCASEST?,3043,UCICARDIO
P015,¿Cuál es la primera prueba diagnóstica ante un síndrome coronario agudo?,3043,UCICARDIO
P016,¿Qué biomarcadores se elevan en el infarto agudo de miocardio?,3043,UCICARDIO
P017,¿Cómo se interpreta un electrocardiograma de 12 derivaciones en el síndrome coronario agudo?,3043,UCICARDIO
P018,¿Qué es el shock cardiogénico y cómo se reconoce?,3043,UCICARDIO
P019,¿Cómo se maneja la insuficiencia cardiaca aguda en cuidados intensivos?,3043,UCICARDIO
P020,¿Qué fármacos vasoactivos se utilizan en el paciente cardiovascular crítico?,3043,UCICARDIO
P021,¿Cómo se monitoriza hemodinámicamente a un paciente en la UCI cardiológica?,3043,UCICARDIO
P022,¿Qué arritmias son más peligrosas tras un infarto de miocardio?,3043,UCICARDIO
P023,"Un paciente llega con dolor torácico opresivo y elevación del ST, ¿cuál es el manejo inicial?",3043,UCICARDIO
P024,Resúmeme el manejo del síndrome coronario agudo,3043,UCICARDIO
P025,Hazme un test sobre cuidados intensivos cardiovasculares,3043,UCICARDIO
P026,¿Qué diferencia hay entre la angina estable y la inestable?,3043,UCICARDIO
P027,¿Cómo se actúa ante una parada cardiorrespiratoria durante una competición deportiva?,124054,EMERGENCIAS_DEPORTE
