id,course_id,pregunta,n_fuentes,tiene_fuente,hit,t_recuperacion_s
P001,4451,¿Qué es el climaterio y en qué se diferencia de la menopausia?,8,1,1,1.535
P002,4451,¿Qué cambios hormonales caracterizan la transición a la menopausia?,8,1,1,0.313
P003,4451,¿Qué le ocurre a la producción de estrógenos durante la menopausia?,8,1,1,0.424
P004,4451,¿A qué edad media aparece la menopausia en la población?,8,1,1,0.337
P005,4451,¿Cuáles son los síntomas más frecuentes de la menopausia?,8,1,1,0.39
P006,4451,¿Por qué se producen los sofocos durante la menopausia?,8,1,1,0.297
P007,4451,¿Qué cambios en el estilo de vida reducen el riesgo cardiovascular tras la menopausia?,7,1,1,0.318
P008,4451,¿Qué papel tienen la dieta y el ejercicio en la menopausia?,8,1,1,0.305
P009,4451,¿Qué alteraciones psicológicas pueden aparecer durante la menopausia?,8,1,1,0.344
P010,4451,¿Qué es el Índice de Función Sexual Femenina (FSFI) y para qué sirve?,1,1,1,0.22
P011,4451,¿Cómo afecta la menopausia a la sexualidad y la lubricación vaginal?,7,1,1,0.69
P012,4451,"Una mujer de 52 años consulta por sofocos, insomnio y sequedad vaginal, ¿cómo orientarías su manejo según el material?",8,1,1,0.255
P013,4451,Hazme un test sobre los aspectos fisiológicos de la menopausia,8,1,1,0.711
P014,3043,¿En qué se diferencia un SCACEST de un SCASEST?,3,1,1,0.239
P015,3043,¿Cuál es la primera prueba diagnóstica ante un síndrome coronario agudo?,3,1,1,0.255
P016,3043,¿Qué biomarcadores se elevan en el infarto agudo de miocardio?,3,1,1,0.242
P017,3043,¿Cómo se interpreta un electrocardiograma de 12 derivaciones en el síndrome coronario agudo?,3,1,1,0.245
P018,3043,¿Qué es el shock cardiogénico y cómo se reconoce?,3,1,1,0.265
P019,3043,¿Cómo se maneja la insuficiencia cardiaca aguda en cuidados intensivos?,3,1,1,0.231
P020,3043,¿Qué fármacos vasoactivos se utilizan en el paciente cardiovascular crítico?,3,1,1,0.376
P021,3043,¿Cómo se monitoriza hemodinámicamente a un paciente en la UCI cardiológica?,3,1,1,0.256
P022,3043,¿Qué arritmias son más peligrosas tras un infarto de miocardio?,3,1,1,0.246
P023,3043,"Un paciente llega con dolor torácico opresivo y elevación del ST, ¿cuál es el manejo inicial?",3,1,1,0.254
P024,3043,Resúmeme el manejo del síndrome coronario agudo,3,1,1,0.264
P025,3043,Hazme un test sobre cuidados intensivos cardiovasculares,3,1,1,0.298
P026,3043,¿Qué diferencia hay entre la angina estable y la inestable?,3,1,1,0.23
P027,124054,¿Cómo se actúa ante una parada cardiorrespiratoria durante una competición deportiva?,1,1,1,0.195
P028,124054,¿Qué es la muerte súbita del deportista y cómo se previene?,1,1,1,0.2
P029,124054,"Un corredor se desploma con la piel caliente y seca, ¿cómo tratarías un golpe de calor?",1,1,1,0.174
P030,124054,¿Cómo se reconoce una conmoción cerebral en el deporte?,1,1,1,0.202
P031,124054,¿Qué material básico debe contener un botiquín de emergencias deportivas?,1,1,1,0.207
P032,124054,¿Cómo se maneja una deshidratación grave en un deportista?,1,1,1,0.234
P033,124054,¿Qué hacer ante un esguince agudo durante un partido?,1,1,1,0.177
P034,124054,¿Cómo se realiza la RCP en el terreno de juego?,1,1,1,0.222
P035,124054,¿Qué es el síncope de esfuerzo y cómo se aborda?,1,1,1,0.186
P036,124054,¿Cómo se inmoviliza una posible fractura en el campo de juego?,1,1,1,0.192
P037,124054,Hazme un test sobre emergencias en la práctica deportiva,1,1,1,0.198
P038,124054,¿Cuándo está indicado usar un desfibrilador en una emergencia deportiva?,1,1,1,0.198
