id,course_id,pregunta,n_fuentes,tiene_fuente,hit,t_recuperacion_s,t_primer_token_s,t_generacion_s,respuesta
P001,4451,¿Qué es el climaterio y en qué se diferencia de la menopausia?,8,1,1,1.606,4.699,5.94,"Hola. Es una excelente pregunta para empezar a comprender esta etapa tan importante en la vida de la mujer.  Según el material proporcionado, podemos entender el climaterio y la menopausia de la siguiente manera:  *   El **climaterio** es el periodo que rodea la desaparición de la menstruación, abarcando al menos diez años de la vida de la mujer. Se describe como una etapa fisiológica y no una enfermedad, siendo consecuencia de la disminución y posterior cese de la función gametogénica y de secreción hormonal ovárica. Es un proceso de senescencia gonadal singular en la mujer.  *   La **menopausia** es el cese definitivo de la menstruación, es decir, un tiempo breve y determinado.  La principal **diferencia** radica en su duración y naturaleza: *   El **climaterio** es un **periodo prolonga"
P002,4451,¿Qué cambios hormonales caracterizan la transición a la menopausia?,8,1,1,0.264,2.589,5.748,"¡Hola! Es una excelente pregunta para entender la fisiología de la transición menopáusica. Vamos a desglosar los cambios hormonales clave que se producen en esta etapa, basándonos en el material que has proporcionado.  La transición a la menopausia se caracteriza por una serie de **cambios hormonales significativos** que reflejan la regresión de la función ovárica. Estos incluyen:  *   **Regresión ovárica:** Se produce una ""anarquía ovárica"" que lleva a ciclos anovulatorios e incluso ovulatorios, culminando en el cese de la regla. *   **Aumento de Gonadotropinas:**     *   En la **perimenopausia**, la **FSH (Hormona Folículo Estimulante)** aumenta de 10 a 15 veces, y la **LH (Hormona Luteinizante)** lo hace de tres a cinco veces.     *   En la **posmenopausia**, los niveles de **FSH** está"
P010,4451,¿Qué es el Índice de Función Sexual Femenina (FSFI) y para qué sirve?,1,1,1,0.199,2.142,2.752,Hola. Con gusto te explico sobre el Índice de Función Sexual Femenina (FSFI) basándome en el material proporcionado.  El **Índice de Función Sexual Femenina (FSFI)** es una **escala multidimensional** que posee **propiedades psicométricas**. Ha sido **ampliamente aplicada** en el ámbito de la salud.  Su **utilidad principal** radica en que sirve para **evaluar la función sexual femenina** específicamente en el periodo de las **cuatro últimas semanas**.  Fue desarrollado por Rosen y validado al español por Blumet et al.
P013,4451,Hazme un test sobre los aspectos fisiológicos de la menopausia,8,1,1,0.255,6.407,10.256,"¡Hola! Entiendo que quieres poner a prueba tus conocimientos sobre los aspectos fisiológicos de la menopausia. He preparado un test con preguntas basadas exclusivamente en el material que me has proporcionado.  Aquí tienes las preguntas:  **Test sobre Aspectos Fisiológicos de la Menopausia**  1.  Según el material, ¿cuáles son las tres asociaciones inherentes a la menopausia que se deben al descenso de los estrógenos?     A) Síntomas vasomotores, depresión y aumento de peso.     B) Atrofia urogenital, cambios de humor y problemas de sueño.     C) Síntomas vasomotores, atrofia urogenital y pérdida de masa ósea.     D) Pérdida de masa ósea, ansiedad y disminución de la libido.      ||Respuesta: C - El material indica que ""La evidencia solo ha mostrado tres asociaciones inherentes a la menopa"
P014,3043,¿En qué se diferencia un SCACEST de un SCASEST?,3,1,1,0.31,1.995,3.469,"¡Hola! Es una excelente pregunta para comprender a fondo estos síndromes coronarios agudos. Vamos a desglosar las diferencias clave entre el SCACEST y el SCASEST basándonos en el material que tienes.  Las principales diferencias entre el **SCACEST** (Síndrome Coronario Agudo con Elevación del Segmento ST) y el **SCASEST** (Síndrome Coronario Agudo sin Elevación del Segmento ST) radican en los siguientes aspectos:  *   **Mecanismo fisiopatológico principal:**     *   En el **SCACEST**, el mecanismo fisiopatológico es la **trombosis oclusiva del vaso coronario** debido a la rotura, erosión, fibrosis o ulceración de una placa de ateroma. Esta oclusión completa es lo que lo diferencia del SCASEST. *   **Uso del electrocardiograma (ECG) para la localización del infarto:**     *   El ECG en el *"
P015,3043,¿Cuál es la primera prueba diagnóstica ante un síndrome coronario agudo?,3,1,1,0.312,2.884,4.212,"Hola. Es una excelente pregunta que aborda un punto crucial en la atención de pacientes con sospecha de síndrome coronario agudo.  Según el material proporcionado, la primera prueba diagnóstica a realizar ante la sospecha clínica de un paciente que cursa con un síndrome coronario agudo es el **electrocardiograma (ECG) de 12 derivaciones** (si es posible).  **¿Por qué es tan importante realizar esta prueba en primer lugar?**  El ECG de 12 derivaciones es fundamental porque permite: *   **Categorizar el tipo de síndrome coronario agudo:** Es decir, ayuda a diferenciar entre un Síndrome Coronario Agudo Sin Elevación del Segmento ST (SCASEST) y un Síndrome Coronario Agudo Con Elevación del Segmento ST (SCACEST). *   **Guiar la actuación inmediata:** Esta diferenciación es crítica, ya que el SC"
P027,124054,¿Cómo se actúa ante una parada cardiorrespiratoria durante una competición deportiva?,1,1,1,0.234,2.689,4.421,"¡Excelente pregunta! Es fundamental saber cómo actuar rápidamente ante una parada cardiorrespiratoria (PCR) en un deportista, ya que cada segundo cuenta. El material proporcionado describe un algoritmo estructurado para optimizar la respuesta.  Ante una parada cardiorrespiratoria en un deportista durante una competición, la actuación se centra en una serie de pasos inmediatos y coordinados:  1.  **Evaluación inicial y detección:**     *   Se debe verificar si el deportista **no tiene pulso** (o si hay duda sobre su presencia).     *   Además, se debe observar si **no respira** o si presenta una **respiración anormal**, como el *gasping* (jadeo agónico).  2.  **Activación de la respuesta de emergencia:**     *   Una vez confirmada la PCR, se debe **activar los servicios de emergencia** de i"
P028,124054,¿Qué es la muerte súbita del deportista y cómo se previene?,1,1,1,0.248,2.578,3.484,"Hola. Es una excelente pregunta que aborda un tema crucial en la salud deportiva. Vamos a desglosar la información que nos proporciona el material.  Según el material proporcionado, la **muerte súbita cardíaca en deportistas** se refiere a un evento fatal que puede ocurrir en atletas. En el caso de **deportistas mayores de 35 años**, la mayoría de estos casos se deben a una **enfermedad coronaria aterosclerótica adquirida**. Es importante destacar que muchos de estos diagnósticos pueden no ser clínicamente evidentes y manifestarse por primera vez como muerte súbita.  En cuanto a la **prevención**, el material indica que el protocolo de detección para la prevención de la muerte súbita cardíaca en deportistas normalmente incluye:  *   Un **examen físico**. *   Una **historia clínica** detall"
P039,131181,¿Qué es el ejercicio terapéutico y qué objetivos persigue?,2,1,1,0.229,2.716,3.966,"¡Excelente pregunta! Es fundamental comprender la base de cualquier intervención para aplicarla correctamente.  Basándonos en el material proporcionado, podemos definir el ejercicio terapéutico y sus objetivos de la siguiente manera:  El **ejercicio terapéutico** se define como: *   La **aplicación sistemática y planificada de actividades físicas**. *   Estas actividades son **diseñadas y supervisadas** por un fisioterapeuta u otro profesional sanitario cualificado. *   Además, el material lo describe como una **forma de comunicación entre el cuerpo y la mente**, que ayuda al paciente a reconectarse con su potencial, a fortalecerse y a reaprender a través del movimiento.  Los **objetivos** que persigue el ejercicio terapéutico son: *   **Prevenir, reducir o revertir limitaciones funcionale"
P040,131181,"¿Qué tipos de contracción muscular existen: isométrica, concéntrica y excéntrica?",0,0,0,0.128,,,
