id,course_id,pregunta,n_fuentes,declina_heur,declina_manual,respuesta
F01,4451,¿Cuál es la dosis de adrenalina en una anafilaxia?,0,0,,"Estimado estudiante,  He revisado el material de tus cursos disponible y, lamentablemente, no he encontrado información específica sobre la dosis de adrenalina en el tratamiento de la anafilaxia.  Para poder responder a tu pregunta con la precisión y el rigor académico que requiere, necesitaría acceder a material que aborde este tema."
F02,4451,¿Cómo se interpreta una gasometría arterial?,0,1,,"Lamento informarte que, con el material de tus cursos disponible en este momento, no dispongo de información específica sobre cómo interpretar una gasometría arterial.  Para poder ayudarte con esta pregunta, necesitaría acceder a contenido relacionado con fisiología respiratoria, equilibrio ácido-base o técnicas diagnósticas en el ámbito sanitario."
F03,2966,¿Cuáles son los criterios de Ottawa para la radiografía de tobillo?,0,1,,"Lamento informarte que, según el material de tus cursos disponible, no se ha encontrado información específica sobre los criterios de Ottawa para la radiografía de tobillo.  Por lo tanto, no puedo proporcionarte una respuesta basada en el contenido de tus materiales."
F04,124054,¿Qué antibiótico de elección se usa en la neumonía adquirida en la comunidad?,0,1,,"Estimado/a estudiante,  Agradezco tu pregunta sobre el antibiótico de elección en la neumonía adquirida en la comunidad.  Sin embargo, he revisado el material de tus cursos y **no he encontrado información específica que aborde este tema**. Por lo tanto, no puedo proporcionarte una respuesta basada en los recursos disponibles en este momento.  Si tienes acceso a otros materiales o deseas explorar un tema diferente que sí esté cubierto en tus cursos, no dudes en consultarme."
F05,131181,¿Cómo se maneja un ictus isquémico en fase aguda?,0,1,,"Lamento informarte que, según el material de tus cursos disponible, no se ha encontrado información específica sobre el manejo del ictus isquémico en fase aguda.  Por lo tanto, no puedo proporcionarte una respuesta basada en los recursos que tienes a tu disposición en este momento."
F06,101442,¿Qué es la escala de coma de Glasgow y cómo se puntúa?,0,1,,"Lamento informarte que, con el material de tus cursos disponible en este momento, no dispongo de información específica sobre la Escala de Coma de Glasgow ni sobre cómo se puntúa.  Por lo tanto, no puedo responder a tu pregunta basándome exclusivamente en el contenido proporcionado."
F07,3518,¿Cómo se trata la cetoacidosis diabética con insulina intravenosa?,0,1,,"Lamento informarte que, con el material de tus cursos disponible en este momento, no dispongo de información específica sobre el tratamiento de la cetoacidosis diabética con insulina intravenosa.  Por lo tanto, no puedo responder a tu pregunta basándome exclusivamente en el contenido que me has proporcionado."
F08,118788,¿Qué vacunas incluye el calendario vacunal infantil?,0,1,,"Lamento informarte que, con el material del curso disponible en este momento, no puedo proporcionarte la información específica sobre las vacunas que incluye el calendario vacunal infantil. El contenido proporcionado no contiene detalles sobre este tema."
F09,4451,¿Cómo se diagnostica una apendicitis aguda?,0,1,,"Lamento informarte que, con el material de tus cursos disponible en este momento, no dispongo de información específica sobre el diagnóstico de la apendicitis aguda.  Por lo tanto, no puedo responder a tu pregunta basándome exclusivamente en los recursos que me has proporcionado."
F10,131181,¿Cómo se anticoagula una fibrilación auricular?,0,1,,"Lamento informarte que, con el material de tus cursos disponible en este momento, no dispongo de información específica sobre cómo se anticoagula una fibrilación auricular.  Para poder ayudarte con esta pregunta, necesitaría acceso a material didáctico que aborde el manejo y tratamiento de la fibrilación auricular, incluyendo las pautas de anticoagulación."
F11,4451,¿Cómo se sutura una herida cutánea?,0,1,,"Lamento informarte que, con el material de tus cursos disponible en este momento, no dispongo de información específica sobre el procedimiento para suturar una herida cutánea.  Si tienes acceso a otros recursos o materiales sobre este tema, estaré encantado de ayudarte a comprenderlos."
F12,124054,¿Cómo se maneja el síndrome de abstinencia alcohólica?,0,1,,"Lamento informarte que, con el material de tus cursos disponible en este momento, no dispongo de información específica sobre cómo se maneja el síndrome de abstinencia alcohólica.  Si tienes acceso a otros recursos o materiales de tu curso que aborden este tema, estaré encantado de ayudarte a comprenderlos."
F13,101442,¿Cómo se trata una intoxicación por paracetamol?,0,1,,"Lamento informarte que, con el material de tus cursos disponible en este momento, no dispongo de información específica sobre el tratamiento de una intoxicación por paracetamol.  Para poder ayudarte con esta pregunta, necesitaría acceso a material que aborde este tema."
F14,2966,¿Qué es la EPOC y cuál es su tratamiento?,0,1,,"Lamento informarte que, con el material de tus cursos disponible en este momento, no dispongo de información específica sobre qué es la EPOC ni cuál es su tratamiento.  Para poder ayudarte, necesitaría acceso a material que aborde este tema."
F15,4451,¿Cómo se realiza un lavado gástrico?,0,1,,"Lamento informarte que, según el material de tus cursos disponible, no se encuentra información específica sobre cómo se realiza un lavado gástrico. Por lo tanto, no puedo proporcionarte una respuesta detallada basada en tus recursos de estudio actuales."
F16,131181,¿Cuáles son los criterios diagnósticos de sepsis en el adulto?,0,1,,"Lamento informarte que, con el material de tus cursos disponible en este momento, no puedo proporcionarte los criterios diagnósticos específicos de sepsis en el adulto. El contenido facilitado no incluye esta información."
F17,124054,¿Cómo se interpreta un hemograma completo?,0,0,,"Lamento informarte que, según el material de tus cursos disponible, no se ha encontrado información específica sobre cómo interpretar un hemograma completo.  Para poder ayudarte con esta pregunta, necesitaría acceso a material didáctico que aborde este tema."
F18,3518,¿Qué es la hemodiálisis y cuándo se indica?,0,1,,"Lamento informarte que, con el material de tus cursos disponible en este momento, no dispongo de información específica sobre qué es la hemodiálisis ni cuándo se indica.  Para poder ayudarte, necesitaría acceso a material didáctico que aborde este tema."
F19,101439,¿Cómo se diagnostica la tuberculosis pulmonar?,0,1,,"Lamento informarte que, con el material de tus cursos disponible en este momento, no dispongo de información específica sobre cómo se diagnostica la tuberculosis pulmonar.  Si tienes acceso a otros recursos o documentos sobre este tema, estaré encantado de ayudarte a comprenderlos."
F20,2966,¿Qué es la enfermedad de Parkinson y cómo se trata?,0,1,,"Lamento informarte que, según el material de tus cursos disponible, no se ha encontrado información específica sobre la enfermedad de Parkinson ni sobre sus tratamientos.  Por lo tanto, no puedo responder a tu pregunta basándome exclusivamente en el contenido proporcionado."
